127.0.0.1 - - [01/Dec/2021:21:31:03 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Dec/2021:21:31:32 -0300] "GET /JavaWeb/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2021:21:31:32 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [01/Dec/2021:21:31:38 -0300] "GET /JavaWeb/listar.jsp HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [01/Dec/2021:21:32:12 -0300] "GET /JavaWeb/JSP/listar.jsp HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [01/Dec/2021:21:32:26 -0300] "GET /JavaWeb/listar.jsp HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [01/Dec/2021:21:34:11 -0300] "GET /JavaWeb/listar.jsp HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [01/Dec/2021:21:34:24 -0300] "GET /JavaWeb/listar.jsp HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [01/Dec/2021:21:34:25 -0300] "GET /JavaWeb/listar.jsp HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [01/Dec/2021:21:34:26 -0300] "GET /JavaWeb/listar.jsp HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [01/Dec/2021:21:34:27 -0300] "GET /JavaWeb/listar.jsp HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [01/Dec/2021:21:34:34 -0300] "GET /JavaWeb/listar.jsp HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [01/Dec/2021:21:34:35 -0300] "GET /JavaWeb/listar.jsp HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [01/Dec/2021:21:34:59 -0300] "GET /JavaWeb/listar.jsp HTTP/1.1" 200 653
